Sents,Terms
of money to secure his appearance on the day and time appointedbankruptcy refers to statutes and judicial proceedings involving persons or businesses that cannot pay their,bankruptcy
persons or businesses that cannot pay their debts and seek the assistance of the court in getting a fresh start under the protection of the bankruptcy court debtors,court
assistance of the court in getting a fresh start under the protection of the bankruptcy court debtors may discharge their debts perhaps by paying a portion of each,bankruptcy
of the court in getting a fresh start under the protection of the bankruptcy court debtors may discharge their debts perhaps by paying a portion of each debt,court
debtors may discharge their debts perhaps by paying a portion of each debt bankruptcy judges preside over these proceedingsbench trial trial without a jury in which a,bankruptcy
by paying a portion of each debt bankruptcy judges preside over these proceedingsbench trial trial without a jury in which a judge decides the factsbrief a,bench trial
each debt bankruptcy judges preside over these proceedingsbench trial trial without a jury in which a judge decides the factsbrief a written statement submitted by,jury
judges preside over these proceedingsbench trial trial without a jury in which a judge decides the factsbrief a written statement submitted by the lawyer for each,judge
bench trial trial without a jury in which a judge decides the factsbrief a written statement submitted by the lawyer for each side in a case that explains,brief
a particular part of a case in favor of that lawyer's client chambers a judge's officecertain type of clause in a will creating a,chambers
part of a case in favor of that lawyer's client chambers a judge's officecertain type of clause in a will creating a fideicommissum by,judge
after my death the farm must go to b4 see fideicommissumcapital offense a crime punishable by death lorem ipsum dolor sit amet consectetur adipiscing,capital offense
at tellus at urna condimentum mattis pellentesque id nibh tortorcase law the law as laid down in cases that have been decided in the decisions of,case law
down in cases that have been decided in the decisions of the courts charge to the jury the judge's instructions to the jury concerning the law that applies to the facts,charge to the jury
that have been decided in the decisions of the courts charge to the jury the judge's instructions to the jury concerning the law that applies to the facts,jury
been decided in the decisions of the courts charge to the jury the judge's instructions to the jury concerning the law that applies to the facts of the,judge
in the decisions of the courts charge to the jury the judge's instructions to the jury concerning the law that applies to the facts of the case on,instructions
of the courts charge to the jury the judge's instructions to the jury concerning the law that applies to the facts of the case on trial,jury
concerning the law that applies to the facts of the case on trialchief judge the judge who has primary responsibility for the administration of a court but also decides,chief judge
the law that applies to the facts of the case on trialchief judge the judge who has primary responsibility for the administration of a court but also decides,judge
that applies to the facts of the case on trialchief judge the judge who has primary responsibility for the administration of a court but also decides cases,judge
chief judge the judge who has primary responsibility for the administration of a court but also decides cases chief judges are determined by senioritycircumstantial evidence,court
a court but also decides cases chief judges are determined by senioritycircumstantial evidence all evidence except eyewitness testimony clerk of court an officer appointed by the,circumstantial evidence
court but also decides cases chief judges are determined by senioritycircumstantial evidence all evidence except eyewitness testimony clerk of court an officer appointed by the,evidence
also decides cases chief judges are determined by senioritycircumstantial evidence all evidence except eyewitness testimony clerk of court an officer appointed by the court to,evidence
 chief judges are determined by senioritycircumstantial evidence all evidence except eyewitness testimony clerk of court an officer appointed by the court to work with the,testimony
are determined by senioritycircumstantial evidence all evidence except eyewitness testimony clerk of court an officer appointed by the court to work with the chief judge in overseeing the,clerk of court
by senioritycircumstantial evidence all evidence except eyewitness testimony clerk of court an officer appointed by the court to work with the chief judge in overseeing the,court
all evidence except eyewitness testimony clerk of court an officer appointed by the court to work with the chief judge in overseeing the court's administration especially to,court
 clerk of court an officer appointed by the court to work with the chief judge in overseeing the court's administration especially to assist in managing the flow of,chief judge
clerk of court an officer appointed by the court to work with the chief judge in overseeing the court's administration especially to assist in managing the flow of,judge
an officer appointed by the court to work with the chief judge in overseeing the court's administration especially to assist in managing the flow of cases through the court,court
court's administration especially to assist in managing the flow of cases through the court and to maintain court records common law the legal system that originated in,court
especially to assist in managing the flow of cases through the court and to maintain court records common law the legal system that originated in england and is now,court
managing the flow of cases through the court and to maintain court records common law the legal system that originated in england and is now in use in the united,common law
united states it is based on judicial decisions rather than legislative action complaint a written statement by the plaintiff stating the wrongs allegedly committed by the defendant,complaint
on judicial decisions rather than legislative action complaint a written statement by the plaintiff stating the wrongs allegedly committed by the defendant contract an agreement between two,plaintiff
complaint a written statement by the plaintiff stating the wrongs allegedly committed by the defendant contract an agreement between two or more persons that creates an obligation to,defendant
written statement by the plaintiff stating the wrongs allegedly committed by the defendant contract an agreement between two or more persons that creates an obligation to do or not,contract
by the plaintiff stating the wrongs allegedly committed by the defendant contract an agreement between two or more persons that creates an obligation to do or not to do,agreement
that creates an obligation to do or not to do a particular thing conviction a judgement of guilt against a criminal defendant counsel legal advice a,conviction
an obligation to do or not to do a particular thing conviction a judgement of guilt against a criminal defendant counsel legal advice a term used,judgement
to do a particular thing conviction a judgement of guilt against a criminal defendant counsel legal advice a term used to refer to lawyers in a,defendant
particular thing conviction a judgement of guilt against a criminal defendant counsel legal advice a term used to refer to lawyers in a case ,counsel
volutpat at tellus at urna condimentum mattis pellentesque id nibh tortorcounterclaim a claim that a defendant makes against a plaintiff court government entity authorized,counterclaim
urna condimentum mattis pellentesque id nibh tortorcounterclaim a claim that a defendant makes against a plaintiff court government entity authorized to resolve legal disputes,defendant
id nibh tortorcounterclaim a claim that a defendant makes against a plaintiff court government entity authorized to resolve legal disputes judges sometimes use ,plaintiff
tortorcounterclaim a claim that a defendant makes against a plaintiff court government entity authorized to resolve legal disputes judges sometimes use court to,court
 court government entity authorized to resolve legal disputes judges sometimes use court to refer to themselves in the third person as in the court,court
court to refer to themselves in the third person as in the court has read the briefs court reporter a person who makes a word,court
third person as in the court has read the briefs court reporter a person who makes a wordforword record of what is said,court reporter
 court reporter a person who makes a wordforword record of what is said in court and produces a transcript of the proceedings upon request,record
person who makes a wordforword record of what is said in court and produces a transcript of the proceedings upon request damages money paid by,court
wordforword record of what is said in court and produces a transcript of the proceedings upon request damages money paid by defendants to successful plaintiffs,transcript
is said in court and produces a transcript of the proceedings upon request damages money paid by defendants to successful plaintiffs in civil cases to compensate the plaintiffs for,damages
to successful plaintiffs in civil cases to compensate the plaintiffs for their injuries default judgement a judgement rendered because of the defendant's failure to answer or appear ,default judgement
successful plaintiffs in civil cases to compensate the plaintiffs for their injuries default judgement a judgement rendered because of the defendant's failure to answer or appear ,judgement
in civil cases to compensate the plaintiffs for their injuries default judgement a judgement rendered because of the defendant's failure to answer or appear defendant in,judgement
the plaintiffs for their injuries default judgement a judgement rendered because of the defendant's failure to answer or appear defendant in a civil suit the,defendant
injuries default judgement a judgement rendered because of the defendant's failure to answer or appear defendant in a civil suit the person complained against,answer
a judgement rendered because of the defendant's failure to answer or appear defendant in a civil suit the person complained against in a criminal case,defendant
against in a criminal case the person accused of the crime deposition an oral statement made before an officer authorized by law to administer oaths such,deposition
administer oaths such statements are often taken to examine potential witnesses to obtain discovery or to be used later in trial discovery lawyers' examination,discovery
witnesses to obtain discovery or to be used later in trial discovery lawyers' examination before trial of facts and documents in possession of the,discovery
documents in possession of the opponents to help the lawyers prepare for trial docket a log containing brief entries of court proceedings en banc in the,docket
the opponents to help the lawyers prepare for trial docket a log containing brief entries of court proceedings en banc in the bench or ,brief
help the lawyers prepare for trial docket a log containing brief entries of court proceedings en banc in the bench or full bench,court
en banc in the bench or full bench refers to court sessions with the entire membership of a court participating rather than the usual quorum,court
full bench refers to court sessions with the entire membership of a court participating rather than the usual quorum us courts of appeals usually sit in panels,court
in certain cases they are then said to be sitting en banc evidence information presented in testimony or in documents that is used to persuade the fact finder,evidence
certain cases they are then said to be sitting en banc evidence information presented in testimony or in documents that is used to persuade the fact finder ,information
they are then said to be sitting en banc evidence information presented in testimony or in documents that is used to persuade the fact finder judge or jury,testimony
presented in testimony or in documents that is used to persuade the fact finder judge or jury to decide the case for one side or the other ,judge
testimony or in documents that is used to persuade the fact finder judge or jury to decide the case for one side or the other federal question,jury
or jury to decide the case for one side or the other federal question jurisdiction given to federal courts in cases involving the interpretation and application of the us,federal question
 to decide the case for one side or the other federal question jurisdiction given to federal courts in cases involving the interpretation and application of the us constitution,jurisdiction
and application of the us constitution acts of congress and treaties felony a crime carrying a penalty of more than a year in prison file,felony
felony a crime carrying a penalty of more than a year in prison file to place a paper in the official custody of the clerk of court to enter,file
in prison file to place a paper in the official custody of the clerk of court to enter into the files or records of a case grand jury,clerk of court
 file to place a paper in the official custody of the clerk of court to enter into the files or records of a case grand jury,court
court to enter into the files or records of a case grand jury a body of citizens who listen to evidence of criminal allegations which are presented,jury
of a case grand jury a body of citizens who listen to evidence of criminal allegations which are presented by the government and determines whether there,evidence
in federal criminal cases the government refers to the lawyers of the us attorney's office who are prosecuting the case habeas corpus a writ that is,u.s. attorney
the lawyers of the us attorney's office who are prosecuting the case habeas corpus a writ that is usually used to bring a prisoner before the court to determine,habeas corpus
habeas corpus a writ that is usually used to bring a prisoner before the court to determine the legality of his imprisonment it may also be used to bring,court
imprisonment it may also be used to bring a person in custody before the court to give testimony or to be prosecuted hearsay statements by a witness,court
may also be used to bring a person in custody before the court to give testimony or to be prosecuted hearsay statements by a witness who did not,testimony
in custody before the court to give testimony or to be prosecuted hearsay statements by a witness who did not see or hear the incident in question but,hearsay
court to give testimony or to be prosecuted hearsay statements by a witness who did not see or hear the incident in question but heard about it from,witness
see or hear the incident in question but heard about it from someone else hearsay is usually not admissible as evidence in court impeachment 1 the,hearsay
question but heard about it from someone else hearsay is usually not admissible as evidence in court impeachment 1 the process of calling something into question,evidence
heard about it from someone else hearsay is usually not admissible as evidence in court impeachment 1 the process of calling something into question as,court
from someone else hearsay is usually not admissible as evidence in court impeachment 1 the process of calling something into question as in impeaching,impeachment
1 the process of calling something into question as in impeaching the testimony of a witness 2 the constitutional process whereby the house of,testimony
process of calling something into question as in impeaching the testimony of a witness 2 the constitutional process whereby the house of representatives may ,witness
misconduct high officers of the federal government for trial in the senate indictment the formal charge issued by a grand jury stating that there is enough evidence that,indictment
for trial in the senate indictment the formal charge issued by a grand jury stating that there is enough evidence that the defendant committed the crime to justify having,jury
indictment the formal charge issued by a grand jury stating that there is enough evidence that the defendant committed the crime to justify having a trial it is used,evidence
formal charge issued by a grand jury stating that there is enough evidence that the defendant committed the crime to justify having a trial it is used primarily for felonies,defendant
manner of a pauper permission given to a person to sue without payment of court fees on claim of indigence or poverty information a formal accusation by a,court
to sue without payment of court fees on claim of indigence or poverty information a formal accusation by a government attorney that the defendant committed a misdemeanor ,information
indigence or poverty information a formal accusation by a government attorney that the defendant committed a misdemeanor accumsan in nisl nisi scelerisque eu ultrices vitae auctor eu,defendant
 information a formal accusation by a government attorney that the defendant committed a misdemeanor accumsan in nisl nisi scelerisque eu ultrices vitae auctor eu augue eget,misdemeanor
volutpat at tellus at urna condimentum mattis pellentesque id nibh tortorinjunction an order of the court prohibiting or compelling the performance of a specific,injunction
urna condimentum mattis pellentesque id nibh tortorinjunction an order of the court prohibiting or compelling the performance of a specific act to prevent irreparable damage,court
 the performance of a specific act to prevent irreparable damage or injury instructions judge's explanation to the jury before it begins deliberations of the questions it must,instructions
the performance of a specific act to prevent irreparable damage or injury instructions judge's explanation to the jury before it begins deliberations of the questions it must answer,judge
act to prevent irreparable damage or injury instructions judge's explanation to the jury before it begins deliberations of the questions it must answer and the law governing the,jury
judge's explanation to the jury before it begins deliberations of the questions it must answer and the law governing the case interrogatories written questions asked by one party,answer
deliberations of the questions it must answer and the law governing the case interrogatories written questions asked by one party of an opposing party who must answer them,interrogatories
interrogatories written questions asked by one party of an opposing party who must answer them in writing under oath a discovery device in a lawsuit issue,answer
of an opposing party who must answer them in writing under oath a discovery device in a lawsuit issue 1 the disputed point in a,discovery
 who must answer them in writing under oath a discovery device in a lawsuit issue 1 the disputed point in a disagreement between parties in,lawsuit
answer them in writing under oath a discovery device in a lawsuit issue 1 the disputed point in a disagreement between parties in a lawsuit,issue
a lawsuit issue 1 the disputed point in a disagreement between parties in a lawsuit 2 to send out officially as in to,parties
issue 1 the disputed point in a disagreement between parties in a lawsuit 2 to send out officially as in to issue an order,lawsuit
in a lawsuit 2 to send out officially as in to issue an order judge government official with authority to decide lawsuits brought before courts,issue
2 to send out officially as in to issue an order judge government official with authority to decide lawsuits brought before courts other judicial officers in,judge
lawsuits brought before courts other judicial officers in the us courts system are supreme court justices judgement the official decision of a court finally determining the respective rights,court
 other judicial officers in the us courts system are supreme court justices judgement the official decision of a court finally determining the respective rights and claims of the,judgement
us courts system are supreme court justices judgement the official decision of a court finally determining the respective rights and claims of the parties to a suit,court
the official decision of a court finally determining the respective rights and claims of the parties to a suitjurisdiction 1 the legal authority of a court,parties
finally determining the respective rights and claims of the parties to a suitjurisdiction 1 the legal authority of a court to hear and decide a case,jurisdiction
parties to a suitjurisdiction 1 the legal authority of a court to hear and decide a case concurrent jurisdiction exists when two courts have simultaneous,court
 the legal authority of a court to hear and decide a case concurrent jurisdiction exists when two courts have simultaneous responsibility for the same case 2,jurisdiction
responsibility for the same case 2 the geographic area over which the court has authority to decide casesjury persons selected according to law and sworn,court
 the geographic area over which the court has authority to decide casesjury persons selected according to law and sworn to inquire into and declare a verdict on,jury
jury persons selected according to law and sworn to inquire into and declare a verdict on matters of fact jurisprudence the study of law and the structure of,verdict
and sworn to inquire into and declare a verdict on matters of fact jurisprudence the study of law and the structure of the legal system lawsuit a,jurisprudence
jurisprudence the study of law and the structure of the legal system lawsuit a legal action started by a plaintiff against a defendant based on a complaint that,lawsuit
the structure of the legal system lawsuit a legal action started by a plaintiff against a defendant based on a complaint that the defendant failed to perform a legal,plaintiff
the legal system lawsuit a legal action started by a plaintiff against a defendant based on a complaint that the defendant failed to perform a legal duty resulting,defendant
lawsuit a legal action started by a plaintiff against a defendant based on a complaint that the defendant failed to perform a legal duty resulting in harm to the,complaint
legal action started by a plaintiff against a defendant based on a complaint that the defendant failed to perform a legal duty resulting in harm to the plaintiff,defendant
that the defendant failed to perform a legal duty resulting in harm to the plaintifflitigation a case controversy or lawsuit participants plaintiffs and,plaintiff
failed to perform a legal duty resulting in harm to the plaintifflitigation a case controversy or lawsuit participants plaintiffs and defendants in,litigation
resulting in harm to the plaintifflitigation a case controversy or lawsuit participants plaintiffs and defendants in lawsuits are called litigants magistrate,lawsuit
lawsuit participants plaintiffs and defendants in lawsuits are called litigants magistrate judges judicial officers who assist us district judges in getting cases ready for trial who,magistrate judges
cases ready for trial who may decide some criminal and civil trials when both parties agree to have the case heard by a magistrate judge instead of a judge,parties
and civil trials when both parties agree to have the case heard by a magistrate judge instead of a judgemisdemeanor usually a petty offense a less serious,judge
both parties agree to have the case heard by a magistrate judge instead of a judgemisdemeanor usually a petty offense a less serious crime than a felony,judge
to have the case heard by a magistrate judge instead of a judgemisdemeanor usually a petty offense a less serious crime than a felony punishable by,misdemeanor
judgemisdemeanor usually a petty offense a less serious crime than a felony punishable by less than a year of confinementmistrial an invalid trial,felony
crime than a felony punishable by less than a year of confinementmistrial an invalid trial caused by fundamental error when a mistrial is declared,mistrial
confinementmistrial an invalid trial caused by fundamental error when a mistrial is declared the trial must start again from the selection of the jury,mistrial
a mistrial is declared the trial must start again from the selection of the jurynolo contendere no contesthas the same effect as a plea of,jury
declared the trial must start again from the selection of the jurynolo contendere no contesthas the same effect as a plea of guilty as far,nolo contendere
the jurynolo contendere no contesthas the same effect as a plea of guilty as far as the criminal sentence is concerned but may not,plea
has the same effect as a plea of guilty as far as the criminal sentence is concerned but may not be considered as an admission of guilt for any,sentence
may not be considered as an admission of guilt for any other purposeopinion a judge's written explanation of a decision of the court or of a majority,opinion
be considered as an admission of guilt for any other purposeopinion a judge's written explanation of a decision of the court or of a majority of judges,judge
other purposeopinion a judge's written explanation of a decision of the court or of a majority of judges a dissenting opinion disagrees with the majority opinion,court
of a decision of the court or of a majority of judges a dissenting opinion disagrees with the majority opinion because of the reasoning andor the principles of law on,opinion
court or of a majority of judges a dissenting opinion disagrees with the majority opinion because of the reasoning andor the principles of law on which the decision is based,opinion
reasoning andor the principles of law on which the decision is based a concurring opinion agrees with the decision of the court but offers further commentoral argument,opinion
which the decision is based a concurring opinion agrees with the decision of the court but offers further commentoral argument an opportunity for lawyers to summarize their,court
concurring opinion agrees with the decision of the court but offers further commentoral argument an opportunity for lawyers to summarize their position before the court and also to answer,oral argument
commentoral argument an opportunity for lawyers to summarize their position before the court and also to answer the judges' questionslaoreet sit amet cursus sit,court
argument an opportunity for lawyers to summarize their position before the court and also to answer the judges' questionslaoreet sit amet cursus sit amet dictum sit,answer
neque aliquam faucibus nisl tincidunt eget nullam non nisi est sit ametpanel 1 in appellate cases a group of judges usually three,panel
tincidunt eget nullam non nisi est sit ametpanel 1 in appellate cases a group of judges usually three assigned to decide the case,appellate
usually three assigned to decide the case 2 in the jury selection process the group of potential jurorsparties plaintiffs and defendants ,jury
2 in the jury selection process the group of potential jurorsparties plaintiffs and defendants petitioners and respondents to lawsuits also known as appellants,parties
 also known as appellants and appellees in appeals and their lawyerspetit jury or trial jury a group of citizens who hear the evidence presented by,petit jury
also known as appellants and appellees in appeals and their lawyerspetit jury or trial jury a group of citizens who hear the evidence presented by,jury
and appellees in appeals and their lawyerspetit jury or trial jury a group of citizens who hear the evidence presented by both sides at trial,jury
petit jury or trial jury a group of citizens who hear the evidence presented by both sides at trial and determine the facts in dispute federal criminal,evidence
juries consist of 12 persons federal civil juries consist of six personsplaintiff the person who files the complaint in a civil lawsuitplea in a,plaintiff
federal civil juries consist of six personsplaintiff the person who files the complaint in a civil lawsuitplea in a criminal case the defendant's,complaint
of six personsplaintiff the person who files the complaint in a civil lawsuitplea in a criminal case the defendant's statement pleading guilty,lawsuit
plaintiff the person who files the complaint in a civil lawsuitplea in a criminal case the defendant's statement pleading guilty or ,plea
the complaint in a civil lawsuitplea in a criminal case the defendant's statement pleading guilty or not guilty in answer to the,defendant
 the defendant's statement pleading guilty or not guilty in answer to the charges a declaration made in open courtpleadings written statements,answer
not guilty in answer to the charges a declaration made in open courtpleadings written statements of the parties in a civil case of their positions,court
 in answer to the charges a declaration made in open courtpleadings written statements of the parties in a civil case of their positions in the,pleadings
charges a declaration made in open courtpleadings written statements of the parties in a civil case of their positions in the federal courts the principal,parties
in a civil case of their positions in the federal courts the principal pleadings are the complaint and the answerprecedent a court decision in an earlier,pleadings
case of their positions in the federal courts the principal pleadings are the complaint and the answerprecedent a court decision in an earlier case with facts,complaint
positions in the federal courts the principal pleadings are the complaint and the answerprecedent a court decision in an earlier case with facts and law similar,answer
the federal courts the principal pleadings are the complaint and the answerprecedent a court decision in an earlier case with facts and law similar to a dispute,precedent
courts the principal pleadings are the complaint and the answerprecedent a court decision in an earlier case with facts and law similar to a dispute currently before,court
in an earlier case with facts and law similar to a dispute currently before a court precedent will ordinarily govern the decision of a later similar case unless a,court
earlier case with facts and law similar to a dispute currently before a court precedent will ordinarily govern the decision of a later similar case unless a party can,precedent
that it was wrongly decided or that it differed in some significant wayprocedure the rules for the conduct of a lawsuit there are rules of civil,procedure
differed in some significant wayprocedure the rules for the conduct of a lawsuit there are rules of civil criminal evidence bankruptcy and appellate,lawsuit
for the conduct of a lawsuit there are rules of civil criminal evidence bankruptcy and appellate procedurepretrial conference a meeting of the judge,evidence
conduct of a lawsuit there are rules of civil criminal evidence bankruptcy and appellate procedurepretrial conference a meeting of the judge and lawyers,bankruptcy
lawsuit there are rules of civil criminal evidence bankruptcy and appellate procedurepretrial conference a meeting of the judge and lawyers to discuss which,appellate
 there are rules of civil criminal evidence bankruptcy and appellate procedurepretrial conference a meeting of the judge and lawyers to discuss which matters,procedure
rules of civil criminal evidence bankruptcy and appellate procedurepretrial conference a meeting of the judge and lawyers to discuss which matters should be presented to,pretrial conference
evidence bankruptcy and appellate procedurepretrial conference a meeting of the judge and lawyers to discuss which matters should be presented to the jury to review,judge
meeting of the judge and lawyers to discuss which matters should be presented to the jury to review evidence and witnesses to set a timetable and to discuss,jury
and lawyers to discuss which matters should be presented to the jury to review evidence and witnesses to set a timetable and to discuss the settlement of the,evidence
to review evidence and witnesses to set a timetable and to discuss the settlement of the caseprobation a sentencing alternative to imprisonment in which the court,settlement
to set a timetable and to discuss the settlement of the caseprobation a sentencing alternative to imprisonment in which the court releases convicted defendants under supervision as,probation
settlement of the caseprobation a sentencing alternative to imprisonment in which the court releases convicted defendants under supervision as long as certain conditions are observedpro,court
courts it refers to persons who present their own cases without lawyersprosecute to charge someone with a crime a prosecutor tries a criminal case on behalf,prosecute
crime a prosecutor tries a criminal case on behalf of the governmentrecord a written account of all the acts and proceedings in a lawsuitremand,record
governmentrecord a written account of all the acts and proceedings in a lawsuitremand when an appellate court sends a case back to a lower court,lawsuit
record a written account of all the acts and proceedings in a lawsuitremand when an appellate court sends a case back to a lower court for further proceedings,remand
account of all the acts and proceedings in a lawsuitremand when an appellate court sends a case back to a lower court for further proceedingsreverse,appellate
of all the acts and proceedings in a lawsuitremand when an appellate court sends a case back to a lower court for further proceedingsreverse when,court
lawsuitremand when an appellate court sends a case back to a lower court for further proceedingsreverse when an appellate court sets aside the decision of,court
appellate court sends a case back to a lower court for further proceedingsreverse when an appellate court sets aside the decision of a lower court because of an,reverse
a case back to a lower court for further proceedingsreverse when an appellate court sets aside the decision of a lower court because of an error a,appellate
case back to a lower court for further proceedingsreverse when an appellate court sets aside the decision of a lower court because of an error a reversal,court
proceedingsreverse when an appellate court sets aside the decision of a lower court because of an error a reversal is often followed by a remand,court
a lower court because of an error a reversal is often followed by a remandsentence the punishment ordered by a court for a defendant convicted of a,remand
because of an error a reversal is often followed by a remandsentence the punishment ordered by a court for a defendant convicted of a crime,sentence
reversal is often followed by a remandsentence the punishment ordered by a court for a defendant convicted of a crimeservice of process the service of,court
followed by a remandsentence the punishment ordered by a court for a defendant convicted of a crimeservice of process the service of writs or summonses,defendant
the punishment ordered by a court for a defendant convicted of a crimeservice of process the service of writs or summonses to the appropriate partysettlement parties to,service of process
service of process the service of writs or summonses to the appropriate partysettlement parties to a lawsuit resolve their difference without having a trial settlements often involve,settlement
of process the service of writs or summonses to the appropriate partysettlement parties to a lawsuit resolve their difference without having a trial settlements often involve the,parties
service of writs or summonses to the appropriate partysettlement parties to a lawsuit resolve their difference without having a trial settlements often involve the payment of compensation,lawsuit
of compensation by one party in satisfaction of the other party's claimssequester to separate sometimes juries are sequestered from outside influences during their deliberations,sequester
to separate sometimes juries are sequestered from outside influences during their deliberationssidebar a conference between the judge and lawyers held out of earshot of the jury and,sidebar
are sequestered from outside influences during their deliberationssidebar a conference between the judge and lawyers held out of earshot of the jury and spectatorsstatute a law passed by,judge
sidebar a conference between the judge and lawyers held out of earshot of the jury and spectatorsstatute a law passed by a legislatureultrices in iaculis nunc sed,jury
viverra nibh cras pulvinar lacus vel facilisis volutpat est velit egestas duistatute of limitations a law that sets the time within which parties must take action to enforce their,statute of limitations
egestas duistatute of limitations a law that sets the time within which parties must take action to enforce their rightssubpoena a command to a witness,parties
sets the time within which parties must take action to enforce their rightssubpoena a command to a witness to appear and give testimonysubpoena duces tecum,subpoena
parties must take action to enforce their rightssubpoena a command to a witness to appear and give testimonysubpoena duces tecum a command to a witness,witness
enforce their rightssubpoena a command to a witness to appear and give testimonysubpoena duces tecum a command to a witness to produce documents,testimony
subpoena a command to a witness to appear and give testimonysubpoena duces tecum a command to a witness to produce documentssummary judgement a decision made,subpoena duces tecum
witness to appear and give testimonysubpoena duces tecum a command to a witness to produce documentssummary judgement a decision made on the basis of statements,witness
subpoena duces tecum a command to a witness to produce documentssummary judgement a decision made on the basis of statements and evidence presented for the record without,summary judgement
subpoena duces tecum a command to a witness to produce documentssummary judgement a decision made on the basis of statements and evidence presented for the record without,judgement
produce documentssummary judgement a decision made on the basis of statements and evidence presented for the record without a trial it is used when there is no,evidence
summary judgement a decision made on the basis of statements and evidence presented for the record without a trial it is used when there is no dispute as to the,record
dispute as to the facts of the case and one party is entitled to judgement as a matter of lawtemporary restraining order prohibits a person from an,judgement
 and one party is entitled to judgement as a matter of lawtemporary restraining order prohibits a person from an action that is likely to cause irreparable harm this,temporary restraining order
from an action that is likely to cause irreparable harm this differs from an injunction in that it may be granted immediately without notice to the opposing party,injunction
 it is intended to last only until a hearing can be heldtestimony evidence presented orally by witnesses during trials or before grand juriestort a,testimony
it is intended to last only until a hearing can be heldtestimony evidence presented orally by witnesses during trials or before grand juriestort a civil,evidence
vehicle that results in property damage and personal injury in an automobile accidentwitness a person called upon by either side in a lawsuit to give testimony before the,witness
an automobile accidentwitness a person called upon by either side in a lawsuit to give testimony before the court or jurywrit a formal written command issued from,lawsuit
witness a person called upon by either side in a lawsuit to give testimony before the court or jurywrit a formal written command issued from the court,testimony
a person called upon by either side in a lawsuit to give testimony before the court or jurywrit a formal written command issued from the court requiring the performance,court
give testimony before the court or jurywrit a formal written command issued from the court requiring the performance of a specific actwrit of certiorari an order issued by the,court
requiring the performance of a specific actwrit of certiorari an order issued by the supreme court directing the lower court to transmit records for a case for which it will hear,court
a specific actwrit of certiorari an order issued by the supreme court directing the lower court to transmit records for a case for which it will hear on appeal,court
the lower court to transmit records for a case for which it will hear on appealtranscript a written wordforword record of what was,appeal
to transmit records for a case for which it will hear on appealtranscript a written wordforword record of what was said either,transcript
will hear on appealtranscript a written wordforword record of what was said either in a proceeding such as a trial or during,record
a proceeding such as a trial or during some other conversation as in a transcript of a hearing or oral depositionuphold the decision of an appellate court,transcript
or during some other conversation as in a transcript of a hearing or oral depositionuphold the decision of an appellate court not to reverse a lower court,deposition
other conversation as in a transcript of a hearing or oral depositionuphold the decision of an appellate court not to reverse a lower court decision,uphold
a transcript of a hearing or oral depositionuphold the decision of an appellate court not to reverse a lower court decisionus attorney a lawyer appointed,appellate
transcript of a hearing or oral depositionuphold the decision of an appellate court not to reverse a lower court decisionus attorney a lawyer appointed by,court
hearing or oral depositionuphold the decision of an appellate court not to reverse a lower court decisionus attorney a lawyer appointed by the president in,reverse
depositionuphold the decision of an appellate court not to reverse a lower court decisionus attorney a lawyer appointed by the president in each judicial district,court
